Year,Bill No.,Short Title of the Bill,Date of Introduction,Debate / Passed in LS,Debate / Passed in RS,Referred to Committee / Report Presented,Assent Date/ Gazette Notification / Act No.,Synopsis,Status
1971,XIV,"The Mysore State Legislature (Delegation of Powers) Bill, 1971",14/06/1971,22/06/1971,15/06/1971,NA,26/06/1971 23 of 1971,NA,Assented
1971,XXXI,"The Industrial Disputes (Second Amendment) Bill, 1971",12/6/1971,26/05/1972,4/6/1972,NA,14/06/1972 32 of 1972,NA,Assented
1971,VII,"The Imports and Exports (Control) Amendment Bill, 1971",24/03/1971,30/03/1971,25/03/1971,NA,30/03/1971 7 of 1971,NA,Assented
1971,XXII,"The Arms (Amendment) Bill, 1971",8/3/1971,12/2/1971,17/11/1971,NA,13/12/1971 55 of 1971,NA,Assented
1971,XXX,"The Homoeopathy Central Council Bill, 1973",12/1/1971,19/11/1973,23/07/1973,NA,19/12/1973 59 of 1973,NA,Assented
1970,XLII,"The Indian Telegraph (Second Amendment) Bill, 1970",17/12/1970,9/8/1971,26/05/1971,NA,10/8/1971 33 of 1971,NA,Assented
1970,XLI,"The Code of Criminal Procedure Bill, 1970",10/12/1970,12/12/1973,18/12/1972,NA,25/01/1974 2 of 1974,NA,Assented
1970,XL,"The Advocates (Amendment) Bill, 1970",12/8/1970,27/11/1973,22/02/1973,NA,22/12/1973 60 of 1973,NA,Assented
1970,XVII,"The Delhi University (Amendment) Bill, 1970",18/05/1970,31/08/1970,4/8/1970,NA,4/9/1970 35 of 1970,NA,Assented
1970,VI,"The Press Council (Amendment) Bill, 1970",26/02/1970,30/03/1970,3/4/1970,NA,31/03/1970 6 of 1970,NA,Assented
1970,VIII,"The West Bengal State Legislature (Delegation of Powers) Bill, 1970",4/1/1970,23/04/1970,4/4/1970,NA,29/04/1970 17 of 1970,NA,Assented
1969,XXXIII,"The Calcutta Port (Amendment) Bill, 1969",24/12/1969,31/03/1970,3/9/1970,NA,31/03/1970 15 of 1970,NA,Assented
1969,XXXII,"The Essential Commodities (Amendment) Continuance Bill, 1969",22/12/1969,31/03/1970,3/9/1970,NA,31/03/1970 14 of 1970,NA,Assented
1969,XXX,"The Prevention of Water Pollution Bill, 1969",22/12/1969,21/02/1974,28/11/1973,NA,23/03/1974 6 of 1974,NA,Assented
1969,XX,"The Banaras Hindu University (Amendment) Bill, 1969",8/12/1969,30/08/1969,21/08/1969,NA,31/08/1969 34 of 1969,NA,Assented
1969,XXII,"The Medical Termination of Pregnancy Bill, 1969",17/11/1969,8/2/1971,27/05/1971,NA,8/10/1971 34 of 1971,NA,Assented
1969,XXI,"The Bihar State Legislature (Delegation of Powers) Bill, 1969",25/08/1969,30/08/1969,26/08/1969,NA,31/08/1969 32 of 1969,NA,Assented
1969,XVI,"The Wakf (Amendment) Bill, 1969",17/05/1969,25/11/1969,29/07/1969,NA,12/2/1969 38 of 1969,NA,Assented
1969,XIX,"The Press Council (Amendment) Bill, 1969",8/5/1969,28/08/1969,8/12/1969,NA,29/08/1969 27 of 1969,NA,Assented
1968,XXIX,"The Delhi Shop and Establlishments (Amendment) Bill, 1969",28/04/1969,6/8/1970,4/8/1969,NA,29/08/1970 33 of 1970,NA,Assented
1969,VIII,"The Limitation (Amendment) Bill, 1969",25/02/1969,24/03/1969,3/3/1969,NA,26/03/1969 10 of 1969,NA,Assented
1969,IX,"The Public Wakfs (Extension of Limitation) Amendment Bill, 1969",25/02/1969,22/03/1969,3/3/1969,NA,26/03/1969 9 of 1969,NA,Assented
1969,VII,"The Payment of Bonus (Amendment) Bill, 1969",24/02/1969,22/03/1969,26/02/1969,NA,26/03/1969 8 of 1969,NA,Assented
1969,VI,"The Armed Forces (Special Powers) continuance Bill, 1969",24/02/1969,24/03/1969,3/3/1969,NA,26/03/1969 3 of 1969,NA,Assented
1968,XLVIII,"The Indian Medicine and Homoeopathy Central Council Bill, 1968",27/12/1968,10/12/1970,5/8/1970,NA,21/12/1970 48 of 1970,NA,Assented
1968,XLVI,"The Public Employment (Requirement as to Residence) Amendment Bill, 1968",23/12/1968,17/03/1969,25/02/1969,NA,19/03/1969 1 of 1969,NA,Assented
1968,XLIV,"The Merchant Shipping (Amendment) Bill, 1968",12/10/1968,5/8/1970,12/3/1969,NA,31/05/1970 25 of 1970,NA,Assented
1968,XXVIII,"The Indian Soldiers (Litigation) Amendment Bill, 1968",26/08/1968,19/05/1970,19/10/1969,NA,29/05/1970 23 of 1970,NA,Assented
1968,XXV,"The Bihar State Legislature (Delegation of Powers) Bill, 1968",5/8/1968,28/08/1968,14/08/1968,NA,30/08/1968 39 of 1968,NA,Assented
1968,XX,"The Advocates (Amendment) Bill, 1968",22/07/1968,8/7/1968,29/07/1968,NA,16/08/1968 33 of 1968,NA,Assented
1968,XIX,"The Hire-Purchase Bill, 1972",22/07/1968,31/05/1972,3/4/1972,NA,8/6/1972 26 of 1972,NA,Assented
1968,XV,"The University Grants Commission (Amendment) Bill, 1968",28/03/1968,15/05/1970,7/8/1968,NA,3/6/1970 27 of 1970,NA,Assented
1968,XIII,"The Uttar Pradesh State Legislature (Delegation of Powers) Bill, 1968",11/3/1968,25/03/1968,14/03/1968,NA,27/03/1968 7 of 1968,NA,Assented
1968,XI,"The West Bengal State Legislatue (Delegation of Powers) Bill, 1968",5/3/1968,25/03/1968,13/03/1968,NA,25/03/1968 6 of 1968,NA,Assented
1968,VI,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 1968",5/3/1968,7/8/1968,25/07/1968,NA,16/08/1968 32 of 1968,NA,Assented
1968,VIII,"The Armed Forces (Special Powers) Continuance Bill, 1968",29/02/1968,26/03/1968,3/4/1968,NA,27/03/1968 10 of 1968,NA,Assented
1968,VII,"The Contempt of Courts Bill, 1968",29/02/1968,20/12/1971,22/11/1971,NA,24/12/1971 70 of 1971,NA,Assented
1967,XXX,"The Delhi and Ajmer Rent Control (Nasirabad Contonment Repeal) Bill, 1967",23/12/1967,21/11/1968,13/02/1968,NA,30/11/1968 49 of 1968,NA,Assented
1967,XXVII,"The Rice-Milling Industry (Regulation) Amendment Bill, 1967",18/12/1967,29/07/1968,13/02/1968,NA,8/7/1968 29 of 1968,NA,Assented
1967,XXIII,"The Registration of Birth and Deaths Bill, 1967",18/12/1967,5/7/1969,27/02/1968,NA,31/05/1969 18 of 1969,NA,Assented
1967,XXVIII,"The Haryana State Legislature (Delegation of Powers) Bill, 1967",12/12/1967,23/03/1967,19/03/1967,NA,26/03/1967 30 of 1967,NA,Assented
1967,XXII,"The Oaths Bill, 1967",27/11/1967,12/1/1969,14/02/1968,NA,26/12/1969 44 of 1969,NA,Assented
1967,XX,"The Dock Workers (Regulation of Employment) Amendment Bill, 1967",20/11/1967,8/10/1970,12/5/1967,NA,28/08/1970 31 of 1970,NA,Assented
1967,XIV,"The Coal Bearing Areas (Acquisition and Development) Amendment Bill, 1967",8/10/1967,23/07/1969,12/6/1967,NA,8/11/1969 23 of 1969,NA,Assented
1967,XV,"The Monopoliies and Restructive Trade Practieces Bill, 1967",18/08/1967,18/12/1969,24/07/1969,NA,27/12/1969 54 of 1969,NA,Assented
1967,IX,"The Indian Official Secrets (Amendment) Bill, 1967",23/06/1967,12/8/1967,7/8/1967,NA,15/08/1967 24 of 1967,NA,Assented
1967,VII,"The Companies Tribunal (Abolition) Bill, 1967",12/6/1967,26/06/1967,15/06/1967,NA,27/06/1967 17 of 1967,NA,Assented
1967,V,"The Passports Bill, 1967",29/05/1967,20/06/1967,8/6/1967,NA,24/06/1967 5 of 1967,NA,Assented
1967,I,"The Constitution (Twenty-first Amendment) Bill, 1967",20/03/1967,4/7/1967,4/4/1967,NA,4/10/1967 1967 of 1967,NA,Assented
1966,XXIII,"The Post-Graduate Institute of Medical Education and Research, Chandigarh, Bill, 1966",10/11/1966,5/12/1966,22/11/1966,NA,17/12/1966 51 of 1966,NA,Assented
1966,XXII,"The Police Forces (Restriction of Rights) Bill, 1966",7/11/1966,30/11/1966,14/11/1966,NA,2/12/1966 33 of 1966,NA,Assented
1966,XIII,"The Special Marriage (Amendment) Bill, 1966",27/07/1966,20/05/1970,25/07/1968,NA,12/8/1970 29 of 1970,NA,Assented
1966,XIV,"The Central Industrial Security Force Bill, 1966",8/2/1966,19/11/1968,13/05/1968,NA,12/2/1968 50 of 1968,NA,Assented
1966,XVI,"The Railway Property (Inlawful Possession) Bill, 1966",8/1/1966,9/6/1966,17/08/1966,NA,16/09/1966 29 of 1966,NA,Assented
1965,XVII,"The Merchant Shipping (Amendment) Bill, 1965",9/12/1965,27/07/1966,7/4/1966,NA,31/08/1966 21 of 1966,NA,Assented
1965,XXI,"The Beedi and Cigar Workers (Conditions of Employment) Bill, 1965",12/11/1965,11/1/1966,16/02/1966,NA,30/11/1966 32 of 1966,NA,Assented
1965,XIX,"The Motor Vehicles (Amendment) Bill, 1965",12/11/1965,27/11/1969,19/12/1968,NA,29/12/1969 56 of 1969,NA,Assented
1965,XIII,"The Goa, Daman and Diu (Extension of the Code of Civil Procedure and the Arbitration Act) Bill, 1965",16/08/1965,22/09/1965,13/09/1965,NA,25/09/1965 30 of 1965,NA,Assented
1965,IX,"The Industries (Development and Regulation) Amendment Bill, 1965",3/2/1965,26/03/1965,23/03/1965,NA,29/03/1965 6 of 1965,NA,Assented
1964,XXXIV,"The Employees` Provident Funds (Amendment) Bill, 1964",24/12/1964,20/09/1965,18/02/1965,NA,25/09/1965 22 of 1965,NA,Assented
1964,XXXIII,"The Jawaharlal Nehru University Bill, 1964",24/12/1964,16/11/1966,6/12/1965,NA,22/12/1966 53 of 1966,NA,Assented
1964,XXXII,"The Industrial disputes (Second Amendment) Bill, 1964",24/12/1964,11/11/1965,17/08/1965,NA,19/11/1965 35 of 1965,NA,Assented
1964,XXX,"The Insecticides Bill, 1964",16/12/1964,9/5/1968,28/11/1967,NA,2/9/1968 26 of 1968,NA,Assented
1964,XXIX,"The Press and Registration of Books (Amendment) Bill, 1964",3/12/1964,14/09/1965,18/02/1965,NA,22/09/1965 16 of 1965,NA,Assented
1964,XXVII,"The Indian Trade Unions (Amendment) Bill, 1964",18/11/1964,12/7/1964,26/11/1964,NA,12/10/1964 38 of 1964,NA,Assented
1964,XXVI,"The Official Trustees (Amendment) Bill, 1964",17/11/1964,12/12/1964,30/11/1964,NA,25/12/1964 48 of 1964,NA,Assented
1964,XV,"The Babaras Hindu University (Amendment) Bill, 1964",1/10/1964,16/11/1966,16/11/1965,NA,22/12/1966 52 of 1966,NA,Assented
1964,XIII,"The Repealing and Amending Bill, 1964",21/09/1964,21/12/1964,25/11/1964,NA,29/12/1964 52 of 1964,NA,Assented
1964,XII,"The Seeds Bill, 1964",9/7/1964,12/5/1966,18/11/1964,NA,29/12/1966 54 of 1966,NA,Assented
1963,XL,"The Indian Railways (Amendment) Bill, 1963",9/12/1963,5/5/1964,21/04/1964,NA,5/12/1964 12 of 1964,NA,Assented
1963,XXXVIII,"The Press Council Bill, 1963",26/11/1963,3/11/1965,26/08/1965,NA,12/11/1965 34 of 1965,NA,Assented
1963,XXXIV,"The Durgah Khwaja Saheb (Amendment) Bill, 1963",18/11/1963,5/6/1964,26/11/1963,NA,16/05/1964 20 of 1964,NA,Assented
1963,XIII,"The Drugs and Cosmetics (Amendment) Bill, 1963",5/10/1963,5/5/1964,21/04/1964,NA,5/12/1964 13 of 1964,NA,Assented
1963,XXXII,"The Dakshina Bharat Hindi Prachar Sabha Bill, 1963",22/08/1963,30/04/1964,29/08/1963,NA,5/12/1964,NA,Assented
1963,XXXII,"The Dakshina Bharat Hindi Prachar Sabha Bill, 1963",22/08/1963,30/04/1964,29/08/1963,NA,14 of 1964,NA,Assented
1963,XXXI,"The Code of Civil Procedure (Amendment) Bill, 1963",13/08/1963,29/08/1963,22/08/1963,NA,9/4/1963,NA,Assented
1963,XXXI,"The Code of Civil Procedure (Amendment) Bill, 1963",13/08/1963,29/08/1963,22/08/1963,NA,26 of 1963,NA,Assented
1963,XV,"The Drugs and Magic Remadies Cougectivable Advertisement Amendment Bill, 1963",10/5/1963,29/11/1963,10/9/1963,NA,7/12/1963,NA,Assented
1963,XV,"The Drugs and Magic Remadies Cougectivable Advertisement Amendment Bill, 1963",10/5/1963,29/11/1963,10/9/1963,NA,42 of 1963,NA,Assented
1963,XIV,"The Foreign Marriage Bill, 1963",10/5/1963,30/08/1969,29/07/1969,NA,31/08/1969,NA,Assented
1963,XIV,"The Foreign Marriage Bill, 1963",10/5/1963,30/08/1969,29/07/1969,NA,33 of 1969,NA,Assented
1963,III,"The Iron Ore Mines Labour Welfare Cess (Amendment) Bill, 1963",3/5/1963,17/08/1963,22/04/1963,NA,24/08/1963,NA,Assented
1963,III,"The Iron Ore Mines Labour Welfare Cess (Amendment) Bill, 1963",3/5/1963,17/08/1963,22/04/1963,NA,24 of 1963,NA,Assented
1963,XII,"The Employees Provident Funds (Amendment Bill, 1963",5/4/1963,29/08/1963,21/08/1963,NA,9/7/1963,NA,Assented
1963,XII,"The Employees Provident Funds (Amendment Bill, 1963",5/4/1963,29/08/1963,21/08/1963,NA,28 of 1963,NA,Assented
1963,V,"The Industrial Employment (Standing Order) Amendment Bill, 1963",18/03/1963,2/12/1963,21/08/1963,NA,2/12/1963,NA,Assented
1963,V,"The Industrial Employment (Standing Order) Amendment Bill, 1963",18/03/1963,2/12/1963,21/08/1963,NA,39 of 1963,NA,Assented
1963,XXXIX,"The Industrial Disputes (Amendment) Bill, 1963",12/2/1963,17/11/1964,9/8/1964,NA,12/9/1964,NA,Assented
1963,XXXIX,"The Industrial Disputes (Amendment) Bill, 1963",12/2/1963,17/11/1964,9/8/1964,NA,36 of 1964,NA,Assented
1963,II,"The Indian Emigration (Amendment) Bill, 1963",25/01/1963,16/08/1963,12/3/1963,NA,24/08/1963,NA,Assented
1963,II,"The Indian Emigration (Amendment) Bill, 1963",25/01/1963,16/08/1963,12/3/1963,NA,23 of 1963,NA,Assented
1963,I,"The Delhi Rent Control (Amendment) Bill, 1963",21/01/1963,19/02/1963,22/01/1963,NA,3/8/1963,NA,Assented
1963,I,"The Delhi Rent Control (Amendment) Bill, 1963",21/01/1963,19/02/1963,22/01/1963,NA,4 of 1963,NA,Assented
1962,XIX,"The East Punjab Ayurvedic and Unani Practicinar (Delhi Amendment) Bill, 1962",11/12/1962,22/11/1963,12/4/1962,NA,14/12/1963 49 of 1963,NA,Assented
1962,II,"The Hindu Sahitya Sammalan Bill, 1962",3/12/1962,30/03/1962,19/03/1962,NA,30/03/1962 13 of 1962,NA,Assented
1962,XX,"The Hindi Sahitiya Sammelan (Amendment) Bill, 1962",22/11/1962,21/01/1963,27/11/1962,NA,25/01/1963 1 of 1963,NA,Assented
1962,XIV,"The Employees Provident Funds (Amendment) Bill, 1962",22/08/1962,28/11/1962,15/11/1962,NA,12/5/1962 48 of 1962,NA,Assented
1962,XIII,"The Indian Sales of Goods (Amendment) Bill, 1962",21/08/1962,29/08/1963,14/11/1962,NA,22/09/1963 33 of 1963,NA,Assented
1962,XII,"The Special Marriage (Amendment) Bill, 1962",8/7/1962,28/08/1963,21/01/1963,NA,22/09/1963 32 of 1963,NA,Assented
1962,XI,"The Limilation Bill, 1962",19/06/1962,16/08/1963,21/01/1963,NA,10/5/1963 36 of 1963,NA,Assented
1961,XXI,"The Air Corporation (Amendment) Bill, 1961",28/11/1961,29/03/1962,30/11/1961,NA,30/03/1962 17 of 1962,NA,Assented
1961,XX,"The Indian Succession (Amendment) Bill, 1961",27/11/1961,28/03/1962,30/11/1961,NA,30/03/1962 16 of 1962,NA,Assented
1961,XIII,"The Minimum Wages (Amendment) Bill, 1961",3/9/1961,8/10/1961,30/03/1961,NA,28/08/1961 31 of 1961,NA,Assented
1961,XV,"The Foreign Awards (Recognition and Enforcement) Bill, 1961",19/04/1961,23/11/1961,14/08/1961,NA,30/11/1961 45 of 1961,NA,Assented
1961,XXII,"The Drugs (Amendment) Bill, 1961",12/4/1961,21/06/1962,19/04/1962,NA,27/06/1962 21 of 1962,NA,Assented
1961,XIV,"The Orissa State Legislature (Delegation of Powers) Bill, 1961",29/03/1961,25/04/1961,30/03/1961,NA,29/04/1961 13 of 1961,NA,Assented
1961,XVIII,"The Indian Standards Institution (Certification Marks) Amendment Bill, 1961",5/1/1961,23/11/1961,14/08/1961,NA,30/11/1961 44 of 1961,NA,Assented
1960,XXIX,"The Delhi Shops and Establishments (Amendment) Bill, 1960",19/12/1960,3/5/1961,27/02/1961,NA,14/05/1961 21 of 1961,NA,Assented
1960,XXVI,"The Repealing and Amending Bill, 1960",28/11/1960,23/12/1960,1/12/1960,NA,26/12/1960 58 of 1960,NA,Assented
1960,XXI,"The Indian Museum (Amendment) Bill, 1960",8/10/1960,15/11/1960,30/08/1960,NA,30/11/1960 45 of 1960,NA,Assented
1960,VI,"The Delhi Primary Education Bill, 1960",3/10/1960,9/9/1960,24/08/1960,NA,20/09/1960 39 of 1960,NA,Assented
1960,IV,"The Press and Registration of Books (Amendment) Bill, 1960",3/10/1960,19/08/1960,19/08/1960,NA,29/08/1960 26 of 1960,NA,Assented
1960,III,"The Indian Boilers (Amendment) Bill, 1960",3/10/1960,27/04/1960,4/12/1960,NA,5/6/1960 18 of 1960,NA,Assented
1960,XXIV,"The Indian Aircraft (Amendment) Bill, 1960",25/08/1960,14/11/1960,1/9/1960,NA,26/11/1960 44 of 1960,NA,Assented
1960,XXIII,"The British Statutes (Application to India) Repeal Bill, 1960",18/08/1960,23/12/1960,28/11/1960,NA,26/12/1960 57 of 1960,NA,Assented
1960,XXVIII,"The Salar Jung Museum Bill, 1960",12/5/1960,4/4/1961,15/12/1960,NA,14/04/1961 26 of 1961,NA,Assented
1960,X,"The Drugs (Amendment) Bill, 1960",28/04/1960,9/6/1960,8/10/1960,NA,15/09/1960 35 of 1960,NA,Assented
1960,IX,"The Agricultural Porduce (Grading and Marking) Amandment Bill,1960",19/04/1960,20/08/1960,8/9/1960,NA,27/08/1960 25 of 1960,NA,Assented
1960,VIII,"The Hindu Marriages (Validation of Proceedings) Bill, 1960",13/04/1960,28/04/1960,19/04/1960,NA,5/6/1960 19 of 1960,NA,Assented
1960,VII,"The Evacuee Interest (Separation) Amendment Bill, 1960",13/04/1960,26/08/1960,8/9/1960,NA,9/3/1960 27 of 1960,NA,Assented
1960,V,"The Supreme Court (Number of Judges) Amendment Bill, 1960",10/3/1960,27/04/1960,11/4/1960,NA,6/5/1960 17 of 1960,NA,Assented
1959,XXIII,"The Children Bill, 1959",22/12/1959,23/12/1960,8/12/1960,NA,26/12/1960 60 of 1960,NA,Assented
1959,XXII,"The Cotton Transport (Amendment) Bill, 1959",21/12/1959,8/5/1960,2/9/1960,NA,23/08/1960 22 of 1960,NA,Assented
1959,XXI,"The Imports and Exports (Control) Amendment Bill, 1959",21/12/1959,24/02/1960,2/9/1960,NA,3/7/1960 4 of 1960,NA,Assented
1959,XX,"The Married Womens Property (Extension) Bill, 1959",23/11/1959,18/12/1959,30/11/1959,NA,24/12/1959 61 of 1959,NA,Assented
1959,XVII,"The Criminal Law (Amendment) Bill, 1959",31/08/1959,10/9/1959,2/9/1959,NA,12/9/1959 41 of 1959,NA,Assented
1959,XVI,"The Miscellaneous Personal Laws (Extension) Bill, 1959",31/08/1959,17/11/1959,7/9/1959,NA,12/4/1959 48 of 1959,NA,Assented
1959,VII,"The Prevention of Cruelty to Animals Bill, 1959",13/03/1959,13/12/1960,3/2/1960,NA,26/12/1960 59 of 1960,NA,Assented
1959,VI,"The Census (Amendment) Bill, 1959",13/03/1959,7/5/1959,20/04/1959,NA,19/05/1959 22 of 1959,NA,Assented
1958,VIII,"The Chartered Accountants (Amendment) Bill, 1958",27/09/1958,13/03/1959,9/12/1958,NA,6/5/1959 15 of 1959,NA,Assented
1958,VII,"The Cost and Works Accountants Bill, 1958",24/09/1958,7/5/1959,19/02/1959,NA,19/05/1959 23 of 1959,NA,Assented
1958,VI,"The Workmen`s Compensation (Amendment) Bill, 1958",24/09/1958,23/02/1959,27/11/1958,NA,20/03/1959 8 of 1959,NA,Assented
1958,II,"The Public Premises (Evention of Unauthorised Occupants) Bill, 1958",10/3/1958,9/9/1958,21/08/1958,NA,16/09/1958 32 of 1958,NA,Assented
1957,XII,"The Ancient Monuments and Archaeological Sites and Remains Bill, 1957",16/12/1957,8/12/1958,17/02/1958,NA,28/08/1958 24 of 1958,NA,Assented
1957,XIII,"The Damodar Valley Corporation (Amendment) Bill, 1957",11/12/1957,21/12/1957,17/12/1957,NA,24/12/1957 59 of 1957,NA,Assented
1957,V,"The Industrial Disputes (Banking Companies) Decision Amendment Bill, 1957",9/12/1957,11/11/1957,14/09/1957,NA,17/11/1957 40 of 1957,NA,Assented
1957,X,"The Indian Reserve Forces (Amendment) Bill, 1957",25/11/1957,18/02/1958,5/12/1957,NA,8/3/1958 3 of 1958,NA,Assented
1957,IX,"The Indian Telegraph (Amendment) Bill, 1957",18/11/1957,12/5/1957,28/11/1957,NA,18/12/1957 47 of 1957,NA,Assented
1957,VII,"The Contonments (Extension of Rent Control Laws) Bill, 1957",14/09/1957,2/12/1957,19/11/1957,NA,18/12/1957 46 of 1957,NA,Assented
1957,VI,"The Indian Nursing Council (Amendment) Bill, 1957",14/09/1957,29/11/1957,19/11/1957,NA,14/12/1957 45 of 1957,NA,Assented
1957,XI,"The Indian Post Office (Amendment) Bill, 1957",12/9/1957,3/10/1958,2/11/1958,NA,18/03/1958 7 of 1958,NA,Assented
1957,IV,"The Forward Contracts (Regulation) Amendment Bill, 1957",9/6/1957,9/12/1957,9/10/1957,NA,17/09/1957 32 of 1957,NA,Assented
1957,II,"The Prevention of Corruption (Amendment) Bill, 1957",18/03/1957,28/03/1957,21/03/1957,NA,29/03/1957 7 of 1957,NA,Assented
1956,XXVIII,"The Repealing and Amending Bill, 1956",21/12/1956,10/9/1957,12/8/1957,NA,17/09/1957 36 of 1957,NA,Assented
1956,XXIX,"The Indian Succession (Amendment) Bill, 1956",21/12/1956,9/10/1957,8/12/1957,NA,17/09/1957 34 of 1957,NA,Assented
1956,XXVII,"The Slum Areas (Improvement and Clearance) Bill, 1956",15/12/1956,22/12/1956,18/12/1956,NA,29/12/1956 96 of 1956,NA,Assented
1956,XXVI,"The Delhi Tenants (Temporary Protection) Bill, 1956",15/12/1956,22/12/1956,19/12/1956,NA,29/12/1956 97 of 1956,NA,Assented
1956,XXV,"The Delhi (Control of Building Operators) Continuance Bill, 1956",15/12/1956,22/12/1956,18/12/1956,NA,29/12/1956 98 of 1958,NA,Assented
1956,X,"The Railway Protection Force Bill, 1956",27/11/1956,20/08/1957,29/05/1957,NA,30/08/1957 23 of 1957,NA,Assented
1956,XXI,"The Minimum Wages (Amendment) Bill, 1956",26/11/1956,9/9/1957,13/08/1957,NA,17/09/1957 30 of 1957,NA,Assented
1956,XVIII,"The Delevery of Books (Public Libraries) Amendment Bill, 1956",13/09/1956,22/12/1956,19/11/1956,NA,29/12/1956 99 of 1956,NA,Assented
1956,XVII,"The Hindu Adoptions and Maintenance Bill, 1956",23/08/1956,14/12/1956,29/11/1956,NA,21/12/1956 78 of 1956,NA,Assented
1956,XIII,"The Newspaper (Price and Page) Bill, 1956",31/07/1956,30/08/1956,14/08/1956,NA,9/7/1956 45 of 1956,NA,Assented
1956,VIII,"The Indian Medical Council Bill, 1956",17/05/1956,10/12/1956,2/8/1956,NA,30/12/1956 102 of 1956,NA,Assented
1956,VII,"The Industrial Disputes (Amendment) Bill, 1956",23/04/1956,20/08/1956,10/5/1956,NA,4/9/1956 41 of 1956,NA,Assented
1955,XXIII,"The Indian Lac Cess (Amendment) Bill, 1955",22/12/1955,14/08/1956,14/02/1956,NA,28/08/1956 35 of 1956,NA,Assented
1955,XXII,"The Indian Cotton Cess (Amendment) Bill, 1955",14/12/1955,20/08/1956,17/02/1956,NA,14/09/1956 50 of 1965,NA,Assented
1955,XVI,"The Multi-Unit Co-operation Society (Amendment) Bill, 1955",23/11/1955,21/08/1956,16/02/1956,NA,28/08/1956 34 of 1956,NA,Assented
1955,XIV,"The Bar Councils (Validation of State Laws) Bill, 1955",30/09/1955,18/02/1956,8/12/1955,NA,13/03/1956 4 of 1956,NA,Assented
1955,XIII,"The Working Journlists (Conditions of Service) and Miscellaneous Provision Bill, 1955",28/09/1955,13/12/1955,1/12/1955,NA,20/12/1955 45 of 1955,NA,Assented
1955,VIII,"The Abolition of Whipping Bill, 1955",4/5/1955,30/11/1955,25/08/1955,NA,19/12/1955 44 of 1955,NA,Assented
1955,VII,"The River Boards Bill, 1955",3/5/1955,11/8/1956,9/12/1955,NA,9/12/1956 49 of 1956,NA,Assented
1955,V,"The Negotiable Instruments (Amendment) Bill, 1955",14/04/1955,27/09/1955,18/08/1955,NA,15/10/1955 37 of 1955,NA,Assented
1955,IV,"The Finance Commission (Miscellaneous Provisions) Amendment Bill, 1955",23/03/1955,16/04/1955,29/03/1955,NA,22/04/1955 13 of 1955,NA,Assented
1955,VI,"The Inter-State Water Disputes Bill, 1955",5/3/1955,8/11/1956,12/12/1955,NA,28/08/1956 33 of 1956,NA,Assented
1955,III,"The Working Journalists (Industrial Disputes) Bill, 1955",24/02/1955,10/3/1955,2/3/1955,NA,12/3/1955 1 of 1955,NA,Assented
1955,XV,"The Copyright Bill, 1955",10/1/1955,27/05/1957,15/05/1957,NA,6/4/1957 14 of 1957,NA,Assented
1954,XXV,"The Imports and Exports (Control) Amendment Bill, 1954",24/12/1954,3/5/1955,25/02/1955,NA,16/03/1955 2 of 1955,NA,Assented
1954,XXIV,"The Insurance (Amendment) Bill, 1954",22/12/1954,26/04/1955,25/02/1955,NA,3/5/1955 18 of 1955,NA,Assented
1954,XIII,"The Hindu Succession Bill, 1954",22/12/1954,8/5/1956,30/11/1955,NA,17/06/1956 30 of 1956,NA,Assented
1954,XXIII,"The Indian Railways (Third Amendment) Bill, 1954",12/11/1954,26/04/1955,25/02/1955,NA,3/5/1955 17 of 1955,NA,Assented
1954,VI,"The Shillong (Rifle Range and Umlong) Contonments Asimilation of Laws Bill, 1954",3/10/1954,5/8/1954,19/04/1954,NA,28/05/1954 31 of 1954,NA,Assented
1954,XVIII,"The Tea (Amendment) Bill, 1954",27/09/1954,18/12/1954,30/11/1954,NA,25/12/1954 52 of 1954,NA,Assented
1954,XV,"The Railway Stores (Unlowful Possession) Bill, 1954",23/08/1954,12/1/1955,31/08/1954,NA,24/12/1955 51 of 1955,NA,Assented
1954,XIV,"The Drugs (Amendment) Bill, 1954",23/08/1954,28/02/1955,31/08/1954,NA,15/04/1955 11 of 1955,NA,Assented
1954,XI,"The Industrial Disputes (Amendment) Bill, 1954",5/6/1954,14/12/1954,15/05/1954,NA,23/12/1954 48 of 1954,NA,Assented
1954,XII,"The Dentists (Amendment) Bill, 1954",13/05/1954,28/02/1955,31/08/1954,NA,15/04/1955 12 of 1955,NA,Assented
1954,X,"The Prevention of Disqualification (Parliament and Part C States Legislatures) Amendment Bill, 1954",26/04/1954,28/04/1954,27/04/1954,NA,29/04/1954 194 of 1954,NA,Assented
1954,VII,"The Himachal Pradesh and Bilaspur (New State) Bill, 1954",15/03/1954,8/5/1954,19/04/1954,NA,28/05/1954 32 of 1954,NA,Assented
1954,V,"The Air Corporations (Amendment) Bill, 1954",23/02/1954,13/03/1954,1/3/1954,NA,18/03/1954 10 of 1954,NA,Assented
1954,IV,"The Abducted Persons (Recovery and Restoration) Amendment Bill, 1954",16/02/1954,25/02/1954,19/02/1954,NA,27/02/1954 4 of 1954,NA,Assented
1954,III,"The Control of Shipping (Amendment) Bill, 1954",16/02/1954,13/03/1954,22/02/1954,NA,18/03/1954 9 of 1954,NA,Assented
